,product name,image url 1,image url 2,price,category
230,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e07_aqua__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e07_aqua__1_.jpg,"PKR2,300",Printed kurta with button detailing on neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
231,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e06_2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e06_1_.jpg,"PKR2,300",Printed kurta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
232,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e06_beige__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e06_beige__1_.jpg,"PKR2,300",Printed kurta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
233,High-Low Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e05_green__1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e05_green__2_.jpg,"PKR3,000",High low kurta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
234,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e04_pink__3_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e04_pink__1_.jpg,"PKR3,000",Printed kurta with tassel on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
235,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e04_brown__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e04_brown__1_.jpg,"PKR3,000",Printed kurta with tassel on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
236,Printed Collar Neck Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e03b_green__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e03b_green__1_.jpg,"PKR3,000",Printed collar neck kurta with shell detailing on the sleeves.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
237,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e02_yellow__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e02_yellow__1_.jpg,"PKR3,000",Printed kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
238,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e02_blue__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e02_blue__1_.jpg,"PKR3,000",Printed kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
239,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e01_yellow__1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e01_yellow__2_.jpg,"PKR3,000",Printed kurta with pearl detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
