,product name,image url,product category,price
27,JJK-A-32244/S19/JJ6200,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjk-a-32244_1_.jpg,Semi-Formal Kurta,"PKR2,990.00"
28,JJK-A-30626/S19/DMS1002,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/0/30626_2_.jpg,Casual Kurta,"PKR3,190.00"
29,JJK-A-30620/S19/DMS1001,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/0/30620_2_.jpg,Casual Kurta,"PKR3,190.00"
30,JJFW-JPC-21117/S19-AK-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-21117_2_.jpg,Men Peshawari Chappal,"PKR2,890.00"
31,JJFW-JPC-21113/S19-GK-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/2/1/21113.jpg,Men Peshawari Chappal,"PKR3,290.00"
32,JJFW-JPC-21110/S19-GK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/2/1/21110_2_.jpg,Men Peshawari Chappal,"PKR3,290.00"
33,JJFW-JPC-21105/S19-NI-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/2/1/21105-1.jpg,Men Peshawari Chappal,"PKR2,190.00"
34,JJFW-JPC-21104/S19-NI-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/2/1/21104_2_.jpg,Men Peshawari Chappal,"PKR2,190.00"
35,JJFW-JPC-21102/S19-NI-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/2/1/21102.jpg,Men Peshawari Chappal,"PKR2,190.00"
36,JJFW-JPC-11201/S19-AD-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11201.jpg,Men Peshawari Chappal,"PKR1,990.00"
37,JJFW-JPC-11199/S19-ZU-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11199.jpg,Men Peshawari Chappal,"PKR1,990.00"
38,JJFW-JPC-11197/S19-HTK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11197_2_.jpg,Men Peshawari Chappal,"PKR1,990.00"
39,JJFW-JPC-11195/S19-HTK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11195_2_.jpg,Men Peshawari Chappal,"PKR1,990.00"
40,JJFW-JPC-11192/S19-GK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11192_2_.jpg,Men Peshawari Chappal,"PKR1,990.00"
41,JJFW-JPC-11184/S19-AB-SWD,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11184.jpg,Men Peshawari Chappal,"PKR1,990.00"
42,JJFW-JPC-11178/S19-NI-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11178.jpg,Men Peshawari Chappal,"PKR1,990.00"
43,JJFW-JPC-11176/S19-GK-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-11176_2_.jpg,Men Peshawari Chappal,"PKR1,990.00"
44,JJFW-JPC-11175/S19-GK-PLN,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/1/11175.jpg,Men Peshawari Chappal,"PKR1,990.00"
45,JJFW-JPC-11173/S19-GK-TXT,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjfw-jpc-11173.jpg,Men Peshawari Chappal,"PKR2,290.00"
46,JJFW-JPC-093-EMB/S19/JJ5927,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/p/jpc-093.jpg,Men Peshawari Chappal,"PKR2,690.00"
47,JJFW-JPC-092-EMB/S19/JJ5167,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/0/9/092.jpg,Men Peshawari Chappal,"PKR2,590.00"
48,JJFW-JPC-091-EMB/S19/JJ5169,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjfw-jpc-091.jpg,Men Peshawari Chappal,"PKR2,690.00"
49,JJFW-JPC-089-EMB/S19/JJ5176,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/0/8/089.jpg,Men Peshawari Chappal,"PKR2,590.00"
50,JJFW-JPC-088-EMB/S19/JJ6041,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/0/8/088.jpg,Men Peshawari Chappal,"PKR2,590.00"
51,JJFW-JPC-087-EMB/S19/JJ5871,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/0/8/087.jpg,Men Peshawari Chappal,"PKR2,590.00"
52,JJ-CAP-0002-R35/S19/JJ6034,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/0/0/0002-r35_1_.jpg,Men Caps,"PKR1,690.00"
53,JJ-CAP-0001-R21/S19/JJ6090,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/0/0/0001-r21_2_.jpg,Men Caps,"PKR1,690.00"
54,JJK-A-30578/S19/JMR1543,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjk-30578_2_.jpg,Men Kurta,"PKR2,990.00"
55,JJVC-27241/S18/JJ5857,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjvc-27241_3_.jpg,Waist Coat,"PKR7,690.00"
