,product name,image url,product category,price
27,Dark Grey Causal Shirt Yarn Dyed CM-YD-2482  CS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2482_cs_4_.jpg,M-AP-19-184287 -P,"PKR 1,497"
28,Purple GUL KORUS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/0/101473.jpg,Men-Fabric-101473,"PKR 1,859"
29,GUL KORUS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/0/101468.jpg,Men-Fabric-101468,"PKR 1,859"
30,Light Brown COTTON CLUB (GIZA)-G,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/8/186308.jpg,Men-Fabric-186308,"PKR 3,276"
31,Green Hi Tex,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/8/185404.jpg,Men-Fabric-185404,"PKR 3,056"
32,Grey GUL CARTIER O/S-G,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/9/6/96824.jpg,Men-Fabric-96824,"PKR 1,607"
33,Sky Satin Casual Shirt CM-YD-2660,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2660_3__2.jpg,M-AP-19-191636 -P,"PKR 1,797"
34,White Basic Henley Tee HS-HEN-SIG-D05-02,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/h/s/hs-hen-sig-d05-02_3_.jpg,M-AP-19-189625 -P,PKR 717
35,Black Fashion Tee JGP-URB-D167,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/j/g/jgp-urb-d167_2_.jpg,M-AP-19-189577 -P,PKR 597
36,Ash Grey Basic Polo PKP-SB-57,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-sb-57_2_.jpg,M-AP-19-189279 -P,PKR 717
37,Ecru Fashion Tee YD-URB-Tee-D05-05,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d05-05_2_.jpg,M-AP-19-188056 -P,"PKR 1,017"
38,Dark Green Fashion Tee YD-URB-Tee-D05-04,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d05-04_2_.jpg,M-AP-19-188052 -P,"PKR 1,017"
39,Rust Fashion Tee YD-URB-Tee-D05-03,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d05-03_4_.jpg,M-AP-19-188048 -P,"PKR 1,017"
40,Brown Fashion Tee YD-URB-Tee-D05-02,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d05-02_4_.jpg,M-AP-19-188044 -P,"PKR 1,017"
41,Blue Fashion Tee YD-URB-Tee-D05-01,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d05-01_4_.jpg,M-AP-19-188040 -P,"PKR 1,017"
42,Ecru Fashion Polo PKP-URB-D46-05,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-urb-d46-05_5__1.jpg,M-AP-19-188036 -P,"PKR 1,017"
43,Brown Fashion Polo PKP-URB-D46-02,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-urb-d46-02_4_.jpg,M-AP-19-188024 -P,"PKR 1,017"
44,Blue Fashion Polo PKP-URB-D46-01,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-urb-d46-01_4_.jpg,M-AP-19-188020 -P,"PKR 1,017"
45,Burgundy Fashion Tee JGP-URB-D156,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/j/g/jgp-urb-d156_3_.jpg,M-AP-19-188000 -P,PKR 597
46,Grey Fashion Tee JGP-URB-D153,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/j/g/jgp-urb-d153_1_.jpg,M-AP-19-187988 -P,PKR 597
47,Ocean Fashion Tee YD-URB-Tee-D04-01,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d04-01_2_.jpg,M-AP-19-187972 -P,PKR 717
48,Ash Grey Fashion Tee YD-URB-Tee-D03-02,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d03-02_2_.jpg,M-AP-19-187968 -P,PKR 717
49,Sapphire Fashion Tee YD-URB-Tee-D03-01,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d03-01_4__1.jpg,M-AP-19-187964 -P,PKR 717
50,Off White Fashion Tee YD-URB-Tee-D01-02,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d01-02_6__1.jpg,M-AP-19-187952 -P,PKR 717
51,Navy Fashion Tee YD-URB-Tee-D01-01,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/y/d/yd-urb-tee-d01-01_2_.jpg,M-AP-19-187948 -P,PKR 717
52,Green Fashion Polo PKP-YD-D53,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-yd-d53_4__1.jpg,M-AP-19-187876 -P,PKR 897
53,Navy & White Fashion Polo PKP-YD-D50,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-yd-d50_2_.jpg,M-AP-19-187864 -P,PKR 897
54,Ash Grey Basic Tee JCN-SIG-D020,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/j/c/jcn-sig-d020_2_.jpg,M-AP-19-187774 -P,PKR 477
55,White Basic Tee JCN-SIG-D018,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/j/c/jcn-sig-d018_3__1.jpg,M-AP-19-187766 -P,PKR 477
56,Mint Basic Polo PKP-SB-51,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-sb-51_1_.jpg,M-AP-19-187761 -P,PKR 717
57,Lime Basic Polo PKP-SB-50,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-sb-50_3_.jpg,M-AP-19-187756 -P,PKR 717
58,Sky Basic Shalwar Kameez SKP-747,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-747_2_.jpg,M-AP-19-193634 -P,"PKR 2,697"
59,Peach Basic Shalwar Kameez SKP-746,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-746_2_.jpg,M-AP-19-193629 -P,"PKR 2,697"
60,Dark Grey Basic Shalwar Kameez SKP-745,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-745_2_.jpg,M-AP-19-193624 -P,"PKR 2,697"
61,White Basic Shalwar Kameez SKP-744,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-744_2_.jpg,M-AP-19-193619 -P,"PKR 2,697"
62,Beige Basic Shalwar Kameez SKP-743,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-743_2_.jpg,M-AP-19-193614 -P,"PKR 2,697"
63,Off White Basic Shalwar Kameez SKP-742,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-742_2_.jpg,M-AP-19-193609 -P,"PKR 2,697"
64,Grey Basic Shalwar Kameez SKP-741,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-741_2_.jpg,M-AP-19-193604 -P,"PKR 2,697"
65,Off White Basic Shalwar Kameez SKP-738,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-738_2_.jpg,M-AP-19-193589 -P,"PKR 2,697"
66,Skin Basic Shalwar Kameez SKP-711,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-711_2_.jpg,M-AP-19-193129 -P,"PKR 2,247"
67,Royal Grey AMBASSADOR-JA,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_0425.jpg,Men-Fabric-199473,"PKR 2,610"
68,Grey Exclusive Wovn(FD#10,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_0513.jpg,Men-Fabric-191862,"PKR 3,555"
69,Sky Blue Exclusive Wovn(FD#12,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_0286.jpg,Men-Fabric-191844,"PKR 3,555"
70,Ink Blue Exclusive Wovn(FD#01,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_0688.jpg,Men-Fabric-191834,"PKR 3,555"
71,Cream Bosky(Exclusive)-CH2,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/5/n/5n1a7739.jpg,Men-Fabric-190797,"PKR 9,660"
72,Green Fancy Woven (OGD#08),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1554.jpg,Men-Fabric-190278,"PKR 2,835"
73,Green Fancy Woven (OGD#07),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1724.jpg,Men-Fabric-190262,"PKR 2,835"
74,Mehndi Fancy Woven (OGD#06),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1258.jpg,Men-Fabric-190250,"PKR 2,835"
75,Brown Fancy Woven (OGD#05),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1492.jpg,Men-Fabric-190234,"PKR 2,835"
76,Dark Green Fancy Woven (OGD#03),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1812.jpg,Men-Fabric-190223,"PKR 2,835"
